<<<<<<< HEAD
=======
The DT
economy NN 
's DT
temperature NN 
will DT
be DT
taken VBN 
from IN 
several JJ 
vantage NN 
points DT
this POS
week NN 
, , 
with POS
readings NNS 
on POS
trade POS
, , 
output NN 
, , 
housing NN 
and POS
inflation NN 
. . 
 OOV
The POS
most POS
troublesome JJ 
report POS
may MD 
be POS
the POS
August NNP 
merchandise NN 
trade POS
deficit NN 
due POS
out POS
tomorrow NN 
. . 
 OOV
The POS
trade POS
gap NN 
is POS
expected POS
to TO 
widen POS
to TO 
about POS
$ $ 
9 CD 
billion CD 
from IN 
July NNP 
's MD
$ $ 
7.6 CD 
billion CD 
, , 
according VBG 
to TO 
a MD
survey MD
by MD
MMS NNP 
International MD
, , 
a MD
unit NN 
of MD
McGraw-Hill NNP 
Inc. MD
, , 
New MD
York NNP 
. . 
 OOV
Thursday NNP 
's MD
report MD
on MD
the MD
September NNP 
consumer NN 
price MD
index NN 
is MD
expected MD
to TO 
rise MD
, , 
although IN 
not RB 
as MD
sharply RB 
as MD
the MD
0.9 CD 
% MD
gain MD
reported MD
Friday NNP 
in MD
the MD
producer NN 
price MD
index NN 
. . 
 OOV
That MD
gain MD
was VBD 
being MD
cited MD
as MD
a MD
reason MD
the MD
stock MD
market MD
was VBD 
down MD
early MD
in MD
Friday NNP 
's MD
session NN 
, , 
before MD
it PRP 
got MD
started MD
on MD
its PRP$ 
reckless JJ 
190-point MD
plunge MD
. . 
 OOV
Economists MD
are MD
divided MD
as MD
to TO 
how WRB 
much MD
manufacturing MD
strength NN 
they PRP 
expect MD
to TO 
see MD
in MD
September NNP 
reports MD
on MD
industrial JJ 
production NN 
and MD
capacity NN 
utilization NN 
, , 
also RB 
due MD
tomorrow NN 
. . 
 OOV
Meanwhile RB 
, , 
September NNP 
housing NN 
starts MD
, , 
due MD
Wednesday NNP 
, , 
are MD
thought MD
to TO 
have MD
inched VBD 
upward MD
. . 
 OOV
`` `` 
There MD
's MD
a MD
possibility NN 
of MD
a MD
surprise MD
'' '' 
in MD
the MD
trade MD
report MD
, , 
said MD
Michael NNP 
Englund NNP 
, , 
director NN 
of MD
research MD
at MD
MMS NNP 
. . 
 OOV
A MD
widening MD
of MD
the MD
deficit NN 
, , 
if IN 
it PRP 
were VBD 
combined MD
with MD
a MD
stubbornly RB 
strong MD
dollar NN 
, , 
would MD 
exacerbate VB 
trade MD
problems NNS 
-- : 
but MD
the MD
dollar NN 
weakened MD
Friday NNP 
as MD
stocks MD
plummeted MD
. . 
 OOV
In MD
any MD
event NN 
, , 
Mr. NNP 
Englund NNP 
and MD
many MD
others NNS 
say MD
that MD
the MD
easy MD
gains MD
in MD
narrowing MD
the MD
trade MD
gap NN 
have MD
already RB 
been VBN 
made MD
. . 
 OOV
`` `` 
Trade NNP 
is MD
definitely RB 
going MD
to TO 
be MD
more MD
politically RB 
sensitive JJ 
over MD
the MD
next MD
six CD 
or CC 
seven CD 
months NNS 
as MD
improvement NN 
begins VBZ 
to TO 
slow MD
, , 
'' '' 
he PRP 
said MD
. . 
 OOV
Exports NNS 
are MD
thought MD
to TO 
have MD
risen VBN 
strongly RB 
in MD
August NNP 
, , 
but MD
probably RB 
not RB 
enough MD
to TO 
offset MD
the MD
jump MD
in MD
imports MD
, , 
economists NNS 
said MD
. . 
 OOV
Views NNS 
on MD
manufacturing MD
strength NN 
are MD
split MD
between IN 
economists NNS 
who WP 
read MD
September NNP 
's MD
low MD
level MD
of MD
factory NN 
job NN 
growth MD
as MD
a MD
sign MD
of MD
a MD
slowdown NN 
and MD
those DT 
who WP 
use MD
the MD
somewhat RB 
more MD
comforting JJ 
total MD
employment NN 
figures MD
in MD
their PRP$ 
calculations NNS 
. . 
 OOV
The MD
wide MD
range MD
of MD
estimates MD
for MD
the MD
industrial JJ 
output NN 
number NN 
underscores VBZ 
the MD
differences NNS 
: : 
The MD
forecasts MD
run MD
from IN 
a MD
drop MD
of MD
0.5 CD 
% MD
to TO 
an MD
increase MD
of MD
0.4 CD 
% MD
, , 
according VBG 
to TO 
MMS NNP 
. . 
 OOV
A MD
rebound MD
in MD
energy NN 
prices NNS 
, , 
which WDT 
helped MD
push MD
up MD
the MD
producer NN 
price MD
index NN 
, , 
is MD
expected MD
to TO 
do MD
the MD
same JJ 
in MD
the MD
consumer NN 
price MD
report MD
. . 
 OOV
The MD
consensus NN 
view MD
expects VBZ 
a MD
0.4 CD 
% MD
increase MD
in MD
the MD
September NNP 
CPI NNP 
after MD
